driving_id,origin,orig_lat,orig_long,destination_station_id,travel_time,distance
1,Providence,41.825226,-71.418884,1,00:59:00,58
2,Providence,41.825226,-71.418884,2,00:44:00,41
3,Providence,41.825226,-71.418884,3,00:41:00,40
4,Providence,41.825226,-71.418884,4,00:46:00,45
5,Providence,41.825226,-71.418884,5,00:46:00,45
6,Providence,41.825226,-71.418884,6,01:03:00,55
7,Providence,41.825226,-71.418884,7,01:04:00,64
8,Providence,41.825226,-71.418884,8,01:10:00,70
9,Providence,41.825226,-71.418884,9,01:19:00,77
10,Providence,41.825226,-71.418884,10,01:13:00,60
11,Providence,41.825226,-71.418884,11,00:36:00,33
12,Providence,41.825226,-71.418884,12,01:20:00,75
13,Providence,41.825226,-71.418884,13,00:54:00,49
